id,device_name,"serial_number Number",mac_address,status,branch_id,registered_date,sold_date,cartoon_number
112,magni,SN75959949,FD:52:13:B7:B2:9F,0,2,00:55:43,1977-11-30,5
113,ut,SN74008449,15:AC:0D:E4:B0:76,0,2,12:01:39,,3
114,maiores,SN83289769,AB:94:1A:CE:87:E8,0,2,18:56:40,,1
115,et,SN21155774,4E:63:97:27:45:DE,0,2,11:28:57,,2
116,cum,SN46745032,DD:09:A5:27:5D:58,0,1,03:50:01,,1
117,iusto,SN38092170,F2:52:6F:FC:CA:74,0,1,19:59:06,,4
118,quo,SN58065197,81:00:27:D0:23:13,0,1,00:36:47,,2
119,et,SN05952124,28:C1:78:95:30:A2,0,1,22:02:24,,2
120,qui,SN98284383,7C:94:1C:91:8D:A3,0,1,21:24:42,1992-03-27,1
121,illo,SN60933287,71:74:74:87:57:9E,0,2,05:24:50,,2
122,sit,SN33638902,B3:86:75:27:D0:93,0,2,14:25:25,2000-08-31,4
123,aut,SN71349462,BE:60:C5:52:35:65,0,1,18:59:56,,2
124,aut,SN75236399,3D:41:50:5E:A3:19,0,2,14:33:14,,4
125,necessitatibus,SN74714269,48:4C:79:58:DF:A3,0,1,02:57:46,,3
126,maxime,SN32209979,BF:D1:F7:7D:D2:83,0,2,05:55:50,,2
127,ratione,SN84142219,3A:26:27:31:5B:27,0,2,00:04:13,,5
128,perferendis,SN17787246,9A:E7:9D:7F:60:EE,0,1,17:19:59,,4
129,excepturi,SN21482439,54:D9:25:D8:0E:15,0,1,23:56:41,2015-07-12,3
130,laudantium,SN31546754,82:E9:57:20:05:DB,0,2,08:55:13,,1
131,reprehenderit,SN90442169,88:B7:27:47:B6:3C,0,2,01:07:01,,1
132,dolorem,SN02213238,C3:4B:FB:05:D0:8E,0,1,19:34:48,,1
133,placeat,SN46759041,78:05:AD:6D:64:CE,0,1,13:45:31,,1
134,nam,SN02216095,1F:EE:7C:E5:7B:75,0,1,04:18:34,,4
135,eum,SN99243700,9B:90:3F:AE:7A:97,0,1,14:41:20,,2
136,voluptas,SN02500717,FC:95:BD:77:2A:42,0,1,21:51:36,,5
137,voluptas,SN27998464,DC:1E:84:A2:79:75,0,2,02:15:45,,5
138,corrupti,SN75970146,3D:65:1E:D3:78:C6,0,1,03:20:09,,5
139,enim,SN52632566,55:09:C1:EB:9C:A6,0,2,03:48:54,,1
140,qui,SN73233001,B2:D0:5B:FA:66:8C,0,1,18:57:02,,1
141,dolorem,SN02214674,C1:B3:1C:2C:37:32,0,2,11:50:48,,2
142,saepe,SN96558003,ED:A4:68:0E:6F:11,0,2,22:35:12,,4
143,qui,SN21640660,9C:1E:0F:29:77:91,0,2,04:23:17,,2
144,aut,SN90953370,A3:B4:2B:5E:58:56,0,2,08:30:52,2008-10-09,1
145,vitae,SN11938840,7E:9E:E1:98:1C:4D,0,2,15:01:23,,1
146,tempora,SN04309275,A3:ED:70:15:5F:6D,1,1,04:46:21,,2
147,minus,SN55696657,31:31:74:E7:DA:06,0,2,03:56:23,,5
148,aut,SN63865077,6E:24:1D:B2:6B:E4,0,1,03:30:47,,1
149,culpa,SN25059525,53:A1:42:41:4E:5C,0,1,05:23:40,,4
150,sequi,SN30611249,02:C1:FD:FE:39:5D,0,2,07:22:36,,3
151,blanditiis,SN80464795,77:95:63:C9:3E:33,0,1,21:54:10,,1
152,excepturi,SN32679005,99:30:20:66:CF:92,0,2,16:23:05,,5
153,quae,SN63423725,73:1F:85:BB:C7:43,0,1,13:21:45,,5
154,nisi,SN27040344,09:91:8E:C6:8B:99,1,1,11:51:16,,2
155,voluptas,SN19104983,F4:57:14:D4:BF:8F,0,1,23:48:46,,5
156,facere,SN55446009,23:F1:CC:E2:1F:B8,0,1,03:44:32,,5
157,eos,SN21484850,7F:7E:4D:68:68:FB,0,2,08:32:18,,3
158,illo,SN17644353,6B:19:9E:3F:A8:BB,0,2,05:50:39,,1
159,ipsum,SN02217854,D4:60:43:CE:5B:86,0,1,15:10:38,,1
160,fugiat,SN12377727,63:48:47:2B:44:46,1,1,12:44:11,,1
161,eos,SN33055898,56:53:4C:8A:E0:5C,0,2,19:35:45,,3
162,quis,SN02213449,D5:ED:3E:6D:47:5C,0,1,11:06:58,,1
163,aperiam,SN53040520,51:72:C9:B0:A4:95,0,1,11:22:48,,2
164,qui,SN41882193,A9:DB:8F:26:6D:E3,0,2,06:26:42,,4
165,error,SN65169094,0A:31:9D:90:4C:F6,0,1,01:04:47,2004-06-18,2
166,qui,SN82173560,76:C5:FB:6F:09:96,0,1,11:03:25,,2
167,libero,SN84585094,68:35:32:0B:0E:D3,1,2,23:15:22,,2
168,non,SN94058959,22:ED:46:C2:D1:CD,0,2,12:56:58,,2
169,molestiae,SN83371976,DA:21:CD:7C:4A:DB,1,2,13:43:26,,2
170,impedit,SN84675272,4E:AA:2D:67:7C:D1,0,1,03:41:37,,3
171,ab,SN07191823,E4:B1:CF:D3:40:FD,0,1,09:24:40,,4
172,iure,SN42460783,70:2D:73:C8:04:C3,0,1,00:55:40,1978-12-30,3
173,fugiat,SN00937030,FA:79:83:32:E4:15,0,2,05:51:04,,3
174,neque,SN25443009,EF:D8:2E:1E:29:DB,0,1,23:18:29,,1
175,repellendus,SN46921213,58:3D:49:53:3A:C1,0,2,12:38:49,,4
176,dolorum,SN95929138,69:7F:4C:62:E0:12,0,2,06:29:38,,1
177,et,SN19426830,D7:00:56:B1:BF:91,0,1,06:54:44,2007-12-09,1
178,cumque,SN15224929,FA:6C:67:74:9E:64,0,2,19:42:56,,3
179,est,SN74326989,5C:94:11:12:CE:E6,0,1,10:03:46,,4
180,non,SN02169023,BB:65:3D:EF:37:3A,0,2,00:33:06,,2
181,nihil,SN52468445,B2:DA:2D:DF:F4:C0,0,1,17:35:46,2018-10-18,5
182,numquam,SN42625610,53:31:26:28:4E:3F,0,1,20:39:22,,5
183,exercitationem,SN75597163,9B:36:1A:C5:29:C4,0,1,16:08:42,,3
184,sint,SN18253597,6D:A9:F0:CC:F7:C8,0,1,16:46:09,,2
185,eum,SN97142734,1D:06:12:3C:9A:00,0,2,12:34:38,2002-04-09,1
186,deserunt,SN10610277,B1:31:E8:04:DB:21,0,2,05:31:31,1981-04-10,3
187,ab,SN02491555,E5:3D:04:D0:96:42,0,1,15:44:41,,5
188,deleniti,SN06469528,9C:03:07:7D:F5:65,1,1,10:30:44,,5
189,fugit,SN93545692,42:62:D4:A2:8B:E4,0,1,19:24:13,,3
190,voluptatem,SN02219602,93:EB:10:61:A3:8B,0,1,09:51:36,,2
191,neque,SN04048227,B1:D4:82:B6:CC:56,0,1,11:01:41,,1
192,vel,SN85909186,0B:60:94:44:EC:76,0,1,08:28:56,,3
193,ut,SN13032641,E9:0D:46:E7:27:CE,0,1,16:32:11,,1
194,et,SN83977523,45:B6:C8:D9:31:74,0,2,20:21:48,,1
195,suscipit,SN76781232,34:82:B3:DE:9F:0E,0,1,15:15:43,,4
196,voluptas,SN33923555,EF:87:9F:71:E0:C7,0,1,01:42:33,,5
197,perspiciatis,SN39625127,97:09:CD:1A:6F:4A,0,2,17:55:25,,3
198,aut,SN58609567,FB:16:EC:26:E7:CD,0,2,07:09:56,1996-05-25,4
199,minima,SN26389598,8F:99:E1:ED:6A:AD,0,2,17:17:56,1996-12-10,1
200,maxime,SN02216316,7D:D2:CA:8F:D0:FD,1,2,13:08:45,,1
201,ab,SN70549697,E2:9A:51:2F:F9:12,0,1,17:40:13,2020-03-29,3
202,officiis,SN94657226,10:86:19:02:55:E7,0,1,22:23:34,1970-10-26,3
203,inventore,SN40698539,7F:F0:9C:4A:65:2E,0,2,21:29:59,,3
204,autem,SN42926812,54:EC:4E:AF:36:E8,0,2,07:50:13,,3
205,debitis,SN74012812,09:CD:DE:5E:8C:67,0,2,17:05:13,,4
206,nihil,SN88715406,01:EB:B1:54:BE:CB,0,2,13:32:59,,5
207,explicabo,SN69528554,DC:90:92:F8:CB:59,0,1,18:49:30,,3
208,asperiores,SN96525887,CB:84:90:A4:F0:EE,0,2,22:34:14,,4
209,molestiae,SN01675535,69:AD:1C:CC:44:B0,0,2,20:29:08,1974-07-27,1
210,quia,SN10398267,A2:91:F6:12:EF:45,0,2,23:57:15,,4
211,vero,SN06017087,F1:45:F6:0E:8A:13,0,1,08:55:20,,5
212,impedit,SN31952217,78:5A:8F:F9:E8:A8,0,1,04:55:38,,1
213,maxime,SN80167845,04:DB:B9:04:A1:13,0,1,01:59:35,,4
214,vitae,SN08325340,BC:B1:6C:F9:E7:AC,0,1,20:58:22,,5
215,quo,SN02215523,11:EA:BB:90:41:6F,0,1,05:25:03,,2
216,exercitationem,SN86318861,1F:83:90:2D:29:45,0,2,01:58:50,,2
217,et,SN49021269,80:46:7B:7D:8C:53,0,2,22:57:43,,1
218,eveniet,SN19101606,E5:C4:81:4F:5C:F1,0,2,12:51:55,,1
219,dolore,SN24972144,7D:F0:05:D8:7B:90,0,1,19:33:43,,1
220,quia,SN01690033,D0:BA:F3:78:0A:C8,0,1,20:50:07,,5
221,nesciunt,SN72887729,DE:42:97:B2:DB:65,0,2,11:54:10,1985-09-10,4
222,animi,SN13784035,12:56:E4:2E:DA:7B,0,1,00:41:04,,1
223,maiores,SN05570128,BA:9E:EC:81:B0:CE,0,1,16:28:00,,3
224,rerum,SN01849199,BF:28:65:4F:08:A0,0,2,11:59:43,,4
225,quam,SN67947967,63:FE:82:DE:E0:22,0,2,01:29:47,,4
226,ut,SN44398536,48:1E:36:18:29:A4,0,1,03:15:13,,1
227,dolores,SN82912788,DB:23:47:C3:46:EA,0,1,19:28:49,,1
228,eaque,SN76635707,8E:BC:9B:8B:52:33,0,1,11:56:28,,4
229,aut,SN09462326,1D:60:B4:E6:9D:01,0,2,01:48:27,1999-04-08,3
230,est,SN57102935,10:A9:D7:E3:47:19,0,2,06:28:21,,4
231,laudantium,SN06169697,30:14:59:BA:BD:9F,0,1,03:19:50,2018-07-29,4
232,numquam,SN81009680,DF:88:EB:9F:D5:22,0,2,03:30:49,1978-09-19,2
233,quia,SN02213751,C8:C9:F1:5F:A6:1F,0,2,15:24:01,,4
234,veniam,SN11146245,AC:11:19:8E:AC:27,1,2,22:39:50,1988-07-15,1
235,et,SN70084049,68:32:00:A2:B7:8D,0,1,00:39:36,,1
236,deleniti,SN92423098,1A:B1:34:DA:0C:C6,0,1,12:24:42,,4
237,incidunt,SN05852246,88:62:A2:11:B7:D3,0,1,23:49:21,,1
238,maiores,SN92391710,F1:8C:F4:04:E2:AE,0,1,19:44:31,,4
239,veniam,SN53924340,2E:F2:84:AD:03:68,0,1,12:00:31,,3
240,et,SN98133166,22:52:C0:51:21:E9,0,1,21:08:11,,2
241,voluptatem,SN51745311,52:A8:3B:42:DA:B2,0,1,14:05:19,1998-12-11,1
242,quibusdam,SN65666016,5D:CD:79:C0:38:07,0,2,00:29:12,,5
243,aut,SN39166584,A8:CF:B6:43:AC:77,0,1,03:07:41,,4
244,aut,SN02212852,0221:22:a7:BC,0,1,07:48:06,,1
245,alias,SN37079251,AB:1F:96:FC:43:C5,0,2,09:51:17,,5
246,illum,SN85802683,35:71:FB:4C:63:FB,1,2,08:55:21,,5
247,dignissimos,SN19771284,83:5C:88:CF:D7:84,0,2,03:27:15,,2
248,sed,SN73283441,FA:27:BE:EE:D9:18,0,2,15:42:07,,1
249,delectus,SN24670236,1E:AE:F3:40:FC:C4,0,2,20:02:14,,2
250,sint,SN53758386,ED:51:86:13:63:56,0,2,13:55:09,,1
251,rerum,SN21320115,14:98:DC:08:30:C4,0,2,02:32:20,,4
252,quae,SN02213243,7C:FD:C5:09:D7:A6,0,2,01:19:10,2010-06-05,1
253,ducimus,SN47080900,55:FE:F4:13:CA:33,0,2,15:17:54,2005-10-07,2
254,totam,SN59535882,0221:03:A4:43,0,2,02:50:58,,1
255,maxime,SN87520507,BC:BC:E8:3E:D5:E0,0,1,21:58:36,,2
256,dicta,SN49132434,0F:7D:D2:42:6F:B3,0,2,17:57:54,,5
257,itaque,SN64761850,0221:E8:E5:fF,0,2,01:22:38,,5
258,aliquam,SN12765823,EA:9F:13:65:A0:50,0,1,13:49:59,,3
259,laboriosam,SN23516674,F7:45:FC:CF:9D:B7,0,2,22:07:18,,5
260,qui,SN62929936,54:F0:38:01:63:70,1,2,20:22:01,,3
261,reiciendis,SN36209700,5B:5C:AC:50:9C:67,0,1,11:28:01,,5
262,aspernatur,SN72408324,C1:F6:86:C1:35:29,0,1,02:13:50,,1
263,omnis,SN58545622,8F:E4:A5:CB:3B:7B,0,1,19:36:43,,2
264,illo,SN02214688,89:DF:82:4A:6F:11,0,2,06:24:41,,3
265,ipsam,SN33197413,0221:b3:BA:09,0,1,03:15:47,,3
266,ullam,SN45982735,A1:28:60:E8:49:7E,0,2,12:36:33,,1
267,et,SN11977993,0221:05:13:BB,0,2,04:00:58,,1
268,ullam,SN89503060,86:1D:9A:A5:24:59,0,2,07:05:21,,2
269,itaque,SN26859543,A1:FF:EA:A1:BE:5C,0,1,01:54:58,,1
270,sit,SN43691584,96:1F:30:68:BA:1B,0,2,08:53:11,,2
271,et,SN14821698,BC:10:18:74:3F:2C,0,2,23:08:01,,1
272,molestiae,SN75753873,6B:76:50:18:13:0A,0,2,06:49:45,,2
273,voluptatem,SN60572679,9B:B6:B3:FB:8E:34,0,1,04:41:28,,1
274,earum,SN02217180,26:86:A4:24:1E:73,0,1,00:54:37,,3
275,sed,SN68968003,73:C2:80:9F:7A:94,0,1,00:50:04,,4
276,quisquam,SN01590073,66:E8:07:91:60:F2,0,2,16:01:29,,1
277,doloremque,SN70771695,0221:4e:99:da,0,2,08:05:17,,2
278,iure,SN41711188,0C:71:75:A4:D0:23,0,2,16:42:45,,4
279,fugiat,SN87228912,F2:97:C4:76:22:8E,0,2,04:27:27,,2
280,veniam,SN91369177,D0:BC:4F:76:A3:56,0,1,12:47:03,2009-05-16,3
281,quaerat,SN72097297,AE:10:75:28:27:3E,0,2,06:01:54,,2
282,nobis,SN19676536,08:C4:75:29:D3:6C,0,1,09:13:35,,5
283,perferendis,SN19480324,A4:B6:E4:7B:5D:08,0,2,17:57:37,,1
284,rem,SN06999383,8D:CC:86:57:1D:3F,0,2,06:55:30,,3
285,placeat,SN17529634,C4:E1:B7:DB:95:63,0,1,21:31:04,1979-02-03,3
286,molestiae,SN93977877,67:06:3F:6E:36:D9,0,2,05:44:51,,2
287,cumque,SN77099758,0221:40:De:3e,0,1,05:26:15,,2
288,tenetur,SN39332213,58:BC:91:99:B6:53,0,1,17:14:37,,2
289,dolorem,SN74489542,C5:C4:DD:D4:7A:74,0,2,08:00:53,,2
290,saepe,SN26509793,6E:34:DD:F4:6E:89,0,2,05:04:55,,3
291,quae,SN45181048,4B:05:04:42:65:63,0,1,19:56:37,,5
292,harum,SN11223105,20:1F:90:E4:CA:A7,0,2,23:57:49,,1
293,occaecati,SN02210009,FE:88:E4:0C:18:BF,0,1,00:34:19,,3
294,sequi,SN64773977,01:B9:11:73:07:59,0,2,04:02:39,,4
295,voluptates,SN66631887,9D:B6:4D:05:97:11,0,2,03:10:16,,2
296,ut,SN48311286,B0:E9:67:F0:24:99,0,1,17:07:06,,1
297,perspiciatis,SN69975260,C3:AE:19:A3:CB:C5,0,2,01:44:45,,2
298,harum,SN82380255,0C:F2:A7:8B:91:E6,0,1,16:58:58,1983-11-25,1
299,non,SN31949216,43:F2:7C:CD:9B:24,0,1,10:40:30,,1
300,aut,SN02214946,6B:16:AA:72:51:F9,0,1,13:19:46,,2
301,labore,SN10252750,71:31:BA:98:C1:B5,0,1,17:00:29,,3
302,est,SN39051611,73:B8:96:4A:B2:9D,0,1,06:23:51,,2
303,quasi,SN55268280,D3:B3:5D:1A:97:3E,0,2,15:24:48,1982-05-10,2
304,illum,SN10675044,6A:80:83:08:E1:A3,0,2,08:59:54,,1
305,qui,SN96075153,83:1A:8E:6D:69:B4,0,1,04:37:08,,3
306,eligendi,SN64457521,0B:41:61:02:75:A0,0,1,04:35:35,,5
307,fugit,SN95519249,08:85:61:82:4D:88,0,2,12:44:12,2020-07-05,1
308,dolore,SN50499717,62:AA:53:74:24:39,0,1,01:44:53,,2
309,reiciendis,SN64428811,67:70:6C:D0:09:46,0,2,11:33:03,,3
310,quibusdam,SN92247069,AA:3C:1A:D5:63:A2,0,1,12:13:27,1988-11-08,1
311,quia,SN66965639,E8:FD:DB:D6:A9:8A,0,1,19:09:29,,1
312,tempora,SN02210002,67:CA:53:B6:AD:1A,0,2,09:55:52,,5
313,assumenda,SN68919756,74:76:D1:74:ED:B4,0,1,13:53:49,1998-03-12,3
314,voluptas,SN38802935,D0:7F:64:F7:FA:1F,0,2,12:27:20,2021-10-21,3
315,rerum,SN02219666,4B:6C:B9:E5:14:7D,0,2,07:39:30,,5
316,enim,SN21024355,54:6F:81:DD:DE:F7,0,2,07:30:48,,3
317,voluptatibus,SN90286014,BC:D5:61:C6:F0:DC,0,2,08:57:27,,5
318,omnis,SN28008321,AF:19:F4:35:52:21,0,1,13:52:14,,1
319,quidem,SN72444450,F3:13:AE:20:53:50,0,1,14:43:45,,2
320,et,SN73304691,43:88:98:ED:8C:C7,0,2,07:39:33,,4
321,dignissimos,SN15018467,D0:43:30:19:69:69,0,1,13:20:10,,1
322,accusantium,SN61266073,18:4C:41:0D:28:F2,0,1,03:00:05,,5
323,ea,SN57167114,5B:DE:66:47:E8:6A,0,1,12:10:22,,2
324,nihil,SN73152256,64:89:26:6A:27:77,0,2,08:14:22,,4
325,doloremque,SN02215817,30:37:B4:69:25:6E,0,1,04:56:09,1971-11-25,5
326,vel,SN02212901,16:AC:E6:73:F5:EC,0,2,10:19:32,,4
327,inventore,SN17349669,24:66:94:90:FE:3E,0,1,11:42:58,,2
328,praesentium,SN32593358,E2:A1:AF:07:06:03,0,1,16:12:28,,5
329,porro,SN34970503,72:36:13:36:0A:B1,0,2,16:32:46,,5
330,omnis,SN74639639,94:60:C0:53:41:98,0,1,06:55:46,,2
331,optio,SN50199169,94:81:D5:F0:55:BE,0,1,10:57:45,,3
332,dolorum,SN46362752,17:36:D4:C5:21:0F,0,2,13:15:55,2023-01-09,2
333,sunt,SN01081373,0221:9A:2c:78,0,2,03:45:26,,2
334,dolorem,SN59327501,9E:90:1F:FB:5B:4D,0,2,15:09:42,,2
335,illum,SN14897823,96:BF:E5:CE:46:72,1,2,22:42:58,2015-05-07,5
336,enim,SN63973893,ED:50:8E:B2:E7:39,0,1,10:22:31,,4
337,nobis,SN14890435,1C:0A:29:30:4D:B8,0,1,10:16:55,,4
